fuel_type,body_type,kilometer_runned,transmission_type,number_of_owners,manufacturer,model,model_year,price,registration_year,insurance_validity,seats,engine_displacement,mileage,max_power(bhp),City
4,1494416.76,34.77,0,1,30,259,2020,2225000,2020,2,5,11.44,2.64,5.29,0
4,460293.0196,40.21,0,1,19,140,2015,475000,2016,1,5,9.99,2.85,4.06,0
1,1045481.863,43.09,0,2,1,10,2008,600000,2008,5,5,12.59,2.36,5.54,0
4,1494416.76,31.07,0,1,11,92,2021,2450000,2021,5,5,11.1,2.42,5.44,0
4,1494416.76,27.14,0,1,12,97,2020,1625000,2020,5,5,11.06,2.55,5.17,0
1,1494416.76,31.07,0,2,0,6,2016,2599000,2016,5,5,12.53,2.42,5.59,0
4,460293.0196,37.37,1,1,19,136,2017,385000,2017,4,5,9.99,2.9,4.04,0
4,460293.0196,47.91,1,3,8,81,2012,300000,2012,5,5,10.62,2.57,4.29,0
1,1494416.76,44.65,0,1,6,46,2017,2975000,2017,5,7,12.68,2.25,5.82,0
4,460293.0196,31.01,1,2,19,135,2014,276000,2014,2,5,9.38,2.8,3.62,0
4,460293.0196,23.72,0,1,19,149,2020,730000,2020,2,5,10.62,2.75,4.34,0
1,1494416.76,25.76,0,1,8,64,2022,2245000,2022,2,7,11.44,2.63,4.84,0
4,460293.0196,42.17,1,1,8,70,2014,399000,2014,2,5,10.62,2.66,4.34,0
4,460293.0196,42.27,1,2,8,80,2011,312000,2011,2,5,10.62,2.73,4.29,0
1,1494416.76,36.09,1,1,16,129,2015,1275000,2015,2,7,12.68,2.52,5.19,0
1,1494416.76,33.17,1,1,28,225,2022,1990000,2022,2,5,12.51,2.54,5.51,0
4,1042342.282,30.46,1,1,26,212,2020,719000,2020,2,7,10,2.71,4.14,0
1,1494416.76,36.84,1,1,8,66,2016,1260000,2016,5,5,11.65,2.7,5.02,0
4,460293.0196,44.81,1,2,8,80,2010,300000,2010,5,5,10.62,2.73,4.29,0
1,1494416.76,41.21,0,2,1,19,2016,3981000,2016,5,5,12.68,2.52,5.84,0
4,460293.0196,37.46,1,1,8,81,2016,627000,2016,2,5,10.62,2.65,4.34,0
1,1045481.863,41.21,0,2,1,10,2010,1300000,2010,5,5,12.59,2.52,5.66,0
4,1045481.863,39.58,1,1,7,56,2015,672000,2015,2,5,11.44,2.59,4.9,0
1,1494416.76,38.49,0,1,8,76,2017,1825000,2017,2,5,12.59,2.54,5.67,0
1,1494416.76,43.09,1,2,29,247,2021,3500000,2021,5,7,12.68,2.42,5.59,0
4,460293.0196,33.13,1,1,8,81,2013,440000,2013,2,5,10.62,2.64,4.36,0
1,1494416.76,41.21,1,2,28,225,2019,1460000,2019,5,5,12.51,2.57,5.17,0
4,1045481.863,31.18,0,1,8,78,2017,1033000,2017,2,5,11.67,2.57,4.95,0
4,460293.0196,40.41,1,1,8,80,2010,275000,2010,2,5,10.62,2.73,4.29,0
